id_transaksi,tanggal,nama_produk,kategori,jumlah_terjual,harga_satuan,nama_kasir,metode_pembayaran,total_pendapat
TRX0042,2026-11-08,Roti Bakar,Makanan,9,7000.0,Pak Agus,Tunai,63000.0
TRX0005,2026-03-08,Gorengan,makanan,2,2000.0,Bu Sri,QRIS,4000.0
TRX0035,2026-10-08,Mie Ayam,Makanan,0,10000.0,Pak Joko,Transfer,0.0
TRX0045,2026-11-08,Teh Botol,Minuman,9,5000.0,Pak Joko,QRIS,45000.0
TRX0061,2026-08-14,Teh Botol,MINUMAN,14,5000.0,Bu Sri,QRIS,70000.0
TRX0008,2026-08-04,Mie Ayam,makanan,14,10000.0,Pak Joko,Tunai,140000.0
TRX0031,2026-08-07,Nasi Goreng,makanan,0,12000.0,Pak Agus,Tunai,0.0
TRX0057,2026-08-13,Jus Alpukat,MINUMAN,14,8000.0,Bu Sri,Tunai,112000.0
TRX0017,2026-05-08,Es Jeruk,Minuman,1,4000.0,Bu Wati,Transfer,4000.0
TRX0052,2026-12-08,Roti Bakar,Makanan,3,7000.0,Bu Wati,Tunai,21000.0
TRX0047,2026-12-08,Teh Botol,MINUMAN,0,5000.0,Pak Joko,QRIS,0.0
TRX0015,2026-08-05,Kerupuk,Snack,7,2000.0,Bu Sri,QRIS,14000.0
TRX0054,2026-08-13,Jus Alpukat,Minuman,15,8000.0,Pak Joko,Tunai,120000.0
TRX0034,2026-10-08,Bakso,Makanan,1,11000.0,Bu Sri,QRIS,11000.0
TRX0046,2026-11-08,Nasi Goreng,Makanan,15,12000.0,Bu Wati,QRIS,180000.0
TRX0003,2026-08-03,Nasi Goreng,MAKANAN,9,12000.0,Pak Joko,Transfer,108000.0
TRX0025,2026-08-06,Mie Ayam,MAKANAN,9,10000.0,Pak Joko,Tunai,90000.0
TRX0019,2026-06-08,Nasi Goreng,Makanan,10,12000.0,Bu Wati,QRIS,120000.0
TRX0012,2026-08-04,Mie Ayam,Makanan,4,10000.0,Bu Wati,QRIS,40000.0
TRX0059,2026-08-14,Bakso,Makanan,11,11000.0,Bu Sri,Tunai,121000.0
TRX0055,2026-08-13,Teh Botol,Minuman,6,5000.0,Bu Sri,Tunai,30000.0
TRX0029,2026-07-08,Nasi Uduk,Makanan,14,8000.0,Bu Sri,QRIS,112000.0
TRX0051,2026-08-12,Mie Ayam,makanan,0,10000.0,Bu Wati,Tunai,0.0
TRX0023,2026-08-06,Mie Ayam,Makanan,4,10000.0,Pak Joko,Tunai,40000.0
TRX0022,2026-08-06,Es Teh,minuman,4,3000.0,Pak Joko,Tunai,12000.0
TRX0033,2026-10-08,Jus Alpukat,Minuman,1,8000.0,Bu Wati,Tunai,8000.0
TRX0010,2026-08-04,Keripik Singkong,snack,0,3000.0,Pak Joko,QRIS,0.0
TRX0037,2026-10-08,Kerupuk,Snack,0,2000.0,Pak Agus,Tunai,0.0
TRX0038,2026-08-10,Mie Ayam,MAKANAN,2,10000.0,Pak Joko,Transfer,20000.0
TRX0028,2026-08-07,Mie Ayam,MAKANAN,4,10000.0,Pak Joko,QRIS,40000.0
TRX0021,2026-08-06,Jus Alpukat,MINUMAN,13,8000.0,Pak Joko,QRIS,104000.0
TRX0009,2026-08-04,Bakso,Makanan,6,11000.0,Bu Wati,QRIS,66000.0
TRX0013,2026-08-04,Bakso,Makanan,5,11000.0,Pak Joko,QRIS,55000.0
TRX0001,2026-03-08,Mie Ayam,MAKANAN,1,10000.0,Bu Wati,QRIS,10000.0
TRX0063,2026-08-14,Keripik Singkong,Snack,9,3000.0,Pak Agus,Tunai,27000.0
TRX0065,2026-08-14,Es Jeruk,Minuman,8,4000.0,Bu Wati,QRIS,32000.0
TRX0044,2026-11-08,Es Teh,MINUMAN,9,3000.0,Bu Sri,Tunai,27000.0
TRX0039,2026-08-10,Nasi Uduk,makanan,6,8000.0,Bu Wati,QRIS,48000.0
TRX0049,2026-12-08,Es Teh,MINUMAN,14,3000.0,Bu Sri,QRIS,42000.0
TRX0064,2026-08-14,Kerupuk,Snack,9,2000.0,Bu Wati,QRIS,18000.0
TRX0050,2026-12-08,Roti Bakar,MAKANAN,500,7000.0,Pak Joko,QRIS,3500000.0
TRX0056,2026-08-13,Jus Alpukat,MINUMAN,3,8000.0,Pak Joko,QRIS,24000.0
TRX0024,2026-06-08,Nasi Uduk,Makanan,1,8000.0,Bu Sri,Tunai,8000.0
TRX0058,2026-08-13,Kerupuk,SNACK,6,2000.0,Pak Agus,QRIS,12000.0
TRX0036,2026-08-10,Jus Alpukat,MINUMAN,0,8000.0,Bu Wati,QRIS,0.0
